Feature,RF_Importance,XGB_Importance,SVR_Importance
age,0.1832723848057152,0.12169743,0.06379287754477965
HNR,0.16718680417554058,0.013645557,0.024228660395762436
Shimmer,0.16166288932842673,0.047407135,0.016650820057635674
DFA,0.1493298362805027,0.32034487,0.03452138326763314
RPDE,0.13526458619937126,0.38560063,0.07208185590826063
PPE,0.1074380271298254,0.020700332,0.025421329547460535
Jitter(%),0.09584547208061808,0.09060406,0.014822142410390805
